Shipment_ID,Date,Origin_Port,Destination_Port,Transport_Mode,Product_Category,Distance_km,Weight_MT,Fuel_Price_Index,Geopolitical_Risk_Score,Weather_Condition,Carrier_Reliability_Score,Lead_Time_Days,Disruption_Occurred,Vulnerability_Score,Weather_Enc,Mode_Enc,Predicted_Daily_Demand,Demand_Volatility,Safety_Stock_MT,Carrying_Cost,Revenue_at_Risk
SC-14624,2024-01-08,Shanghai,Hamburg,Rail,Electronics,14202.85,193.84,2.73,1.9,Fog,0.577,15.95,0,2.149,1,1,222.70000000000002,169.88284149181555,1190.21,53559.43,0.0
SC-10230,2024-01-08,Rotterdam,Busan,Sea,Automotive,12024.76,332.7,2.89,1.9,Clear,0.869,17.37,0,2.197,0,3,252.56714285714284,167.9294944030863,1242.47,55911.07,0.0
SC-11673,2024-01-08,Los Angeles,Antwerp,Rail,Automotive,12185.92,32.56,4.19,7.5,Rain,0.777,13.86,1,6.507,3,1,251.83142857142857,169.03532800656114,2510.2,112958.82,19536.0
SC-11682,2024-01-08,Busan,Hamburg,Air,Perishables,9794.1,432.34,2.86,0.8,Fog,0.83,0.72,1,1.418,1,0,252.49428571428572,169.847071886952,2303.69,103666.13,259404.0
SC-14601,2024-01-09,Antwerp,Singapore,Road,Textiles,11859.11,386.48,2.04,0.6,Storm,0.746,21.46,0,1.032,4,2,269.60571428571427,177.38326178618087,1441.45,64865.21,0.0
SC-13694,2024-01-09,Singapore,Marseille,Rail,Textiles,5503.71,259.95,3.28,4.6,Rain,0.848,5.24,1,4.204,3,1,241.3842857142857,157.0577157031923,2269.46,102125.84,155970.0
SC-11297,2024-01-09,Los Angeles,Antwerp,Sea,Electronics,2016.23,42.55,1.64,9.1,Fog,0.707,6.39,0,6.861999999999999,1,3,240.06,158.9501677675533,793.33,35699.91,0.0
SC-12399,2024-01-09,Antwerp,Singapore,Sea,Pharmaceuticals,9735.08,125.7,1.96,9.8,Fog,0.812,30.22,1,7.448,1,3,230.32571428571427,164.25060221676947,2566.82,115506.93,75420.0
SC-13932,2024-01-09,Los Angeles,Shanghai,Rail,Automotive,9529.92,86.49,1.43,5.0,Clear,0.523,7.27,0,3.929,0,1,195.15285714285713,165.03427479509477,815.19,36683.59,0.0
SC-13720,2024-01-09,Singapore,Marseille,Sea,Electronics,5479.11,157.31,2.73,9.3,Hurricane,0.822,88.64,1,7.329,2,3,212.9742857142857,150.6598224319878,3035.31,136589.04,94386.0
SC-10390,2024-01-09,Shanghai,Marseille,Sea,Perishables,14862.32,70.59,4.13,1.5,Hurricane,0.671,176.04,1,2.2889999999999997,2,3,161.29571428571427,122.23443157271502,3050.16,137257.15,42354.0
SC-14848,2024-01-10,Hamburg,Singapore,Air,Electronics,11570.98,295.96,3.16,0.1,Rain,0.502,1.18,0,1.018,3,0,148.3642857142857,96.52589632790128,320.07,14403.13,0.0
SC-10431,2024-01-10,Singapore,Hamburg,Sea,Automotive,11541.9,45.2,1.47,9.8,Fog,0.704,36.21,0,7.301,1,3,117.68571428571428,88.9819897239777,908.94,40902.37,0.0
SC-13693,2024-01-10,Dubai,Hamburg,Sea,Textiles,3899.17,7.02,1.76,5.2,Rain,0.987,8.03,1,4.167999999999999,3,3,112.61,94.80502061248292,1113.93,50126.95,4212.0
SC-14595,2024-01-10,Los Angeles,Dubai,Air,Perishables,9855.67,188.37,3.96,4.7,Fog,0.867,0.5,0,4.478,1,0,121.56285714285714,99.10861511733563,249.1,11209.55,0.0
SC-13023,2024-01-10,Singapore,Hamburg,Road,Perishables,5320.61,205.84,3.43,9.6,Storm,0.611,14.46,1,7.749,4,2,138.61285714285714,102.28450480795959,1412.16,63547.39,123504.0
SC-13087,2024-01-10,Busan,Marseille,Rail,Pharmaceuticals,723.23,365.11,4.4,2.4,Rain,0.706,1.45,1,3.0,3,1,168.29857142857142,133.88763988615867,1550.3,69763.63,219066.0
SC-13956,2024-01-10,Antwerp,Dubai,Air,Electronics,13933.73,322.81,1.46,4.3,Hurricane,0.805,7.6,1,3.448,2,0,204.32999999999998,137.10967045884595,1956.37,88036.61,193686.0
SC-11264,2024-01-10,Busan,Antwerp,Air,Textiles,668.5,421.43,3.6,1.9,Fog,0.697,0.5,1,2.41,1,0,222.25428571428571,157.73488483920764,2025.34,91140.13,252858.0
SC-10366,2024-01-10,Rotterdam,Los Angeles,Road,Automotive,14437.26,306.06,3.9,8.6,Fog,0.968,19.06,1,7.1899999999999995,1,2,259.52,138.58559737577355,2557.99,115109.59,183636.0
SC-14920,2024-01-10,Singapore,Marseille,Air,Textiles,14304.91,139.64,3.64,3.4,Hurricane,0.992,7.36,1,3.472,2,0,278.4657142857143,102.74417304761428,2568.59,115586.41,83784.0
SC-13496,2024-01-10,Busan,Hamburg,Air,Textiles,13013.45,497.15,4.26,9.9,Hurricane,0.857,7.97,1,8.208,2,0,322.57714285714286,122.08128626920212,2982.11,134195.0,298290.0
SC-12632,2024-01-10,Rotterdam,Dubai,Sea,Textiles,563.27,163.46,1.41,4.6,Clear,0.993,1.06,1,3.643,0,3,316.5228571428571,129.65156300822682,2880.88,129639.44,98076.0
SC-10844,2024-01-11,Antwerp,Singapore,Rail,Pharmaceuticals,2655.61,436.89,1.63,0.5,Rain,0.977,2.16,1,0.839,3,1,326.77714285714285,136.77758877270873,2983.99,134279.73,262134.0
SC-13341,2024-01-11,Dubai,Busan,Air,Automotive,8892.7,277.69,1.35,4.7,Hurricane,0.787,4.76,1,3.6950000000000003,2,0,320.3314285714286,138.0529074218253,2949.18,132713.2,166614.0
SC-14274,2024-01-12,Los Angeles,Hamburg,Air,Pharmaceuticals,9226.2,360.02,1.84,4.0,Clear,0.717,0.5,0,3.352,0,0,311.5585714285714,132.3928194715222,586.2,26378.83,0.0
SC-12688,2024-01-12,Antwerp,Marseille,Road,Pharmaceuticals,7646.54,153.81,3.45,7.0,Storm,0.58,18.54,1,5.935,4,2,289.80857142857144,145.32153538832108,2825.41,127143.27,92286.0
SC-13852,2024-01-12,Busan,Dubai,Road,Perishables,9385.54,15.47,4.45,1.4,Storm,0.734,17.24,1,2.315,4,2,272.07,171.8616427052102,2735.41,123093.33,9282.0
SC-10149,2024-01-12,Los Angeles,Rotterdam,Road,Textiles,4540.37,66.51,2.49,1.1,Storm,0.942,9.02,0,1.517,4,2,210.55,154.01270499539956,853.54,38409.18,0.0
SC-14059,2024-01-13,Los Angeles,Rotterdam,Road,Textiles,14883.46,101.39,4.45,9.2,Storm,0.531,38.15,1,7.7749999999999995,4,2,201.68285714285716,158.8854586082151,2443.74,109968.47,60834.0
SC-10920,2024-01-13,Shanghai,Dubai,Sea,Electronics,13092.79,55.63,3.57,8.9,Rain,0.971,31.25,0,7.300999999999999,3,3,147.21714285714285,126.95863666489757,1201.14,54051.1,0.0
SC-13041,2024-01-13,Busan,Rotterdam,Road,Textiles,14574.81,134.87,3.32,8.8,Fog,0.601,18.81,1,7.156,1,2,126.8142857142857,113.23009168019207,1407.48,63336.62,80922.0
SC-13206,2024-01-13,Rotterdam,Marseille,Sea,Electronics,12952.08,64.39,3.27,5.7,Storm,0.611,68.95,1,4.971,4,3,84.58142857142857,48.22328048725334,1012.77,45574.7,38634.0
SC-13894,2024-01-13,Busan,Antwerp,Sea,Electronics,11106.7,5.84,3.02,3.0,Fog,0.605,26.72,1,3.0059999999999993,1,3,63.44285714285714,45.152799364780364,692.67,31170.16,3504.0
SC-10796,2024-01-13,Rotterdam,Hamburg,Rail,Pharmaceuticals,14015.72,68.74,2.55,3.7,Fog,0.967,17.32,1,3.3549999999999995,1,1,71.05285714285715,39.90390904589148,700.61,31527.53,41244.0
SC-14457,2024-01-13,Hamburg,Singapore,Rail,Perishables,2529.82,435.76,1.58,0.2,Hurricane,0.698,13.94,1,0.614,2,1,123.80285714285715,143.21700128526223,1428.53,64284.0,261456.0
SC-13848,2024-01-13,Hamburg,Singapore,Road,Perishables,10863.92,220.08,2.95,9.8,Fog,0.916,14.67,1,7.745,1,2,140.75857142857143,147.0947172661853,1579.83,71092.39,132048.0
SC-14975,2024-01-13,Rotterdam,Singapore,Road,Automotive,6977.53,93.94,3.04,8.7,Clear,0.563,5.23,1,7.001999999999999,0,2,146.23142857142858,144.0813282407509,1434.1,64534.6,56364.0
SC-13777,2024-01-13,Dubai,Rotterdam,Road,Pharmaceuticals,8715.78,116.09,3.08,7.8,Storm,0.674,21.91,0,6.384,4,2,143.54857142857142,144.50237280964976,1146.05,51572.21,0.0
SC-14889,2024-01-14,Busan,Antwerp,Rail,Perishables,10505.68,148.67,4.24,8.5,Rain,0.796,12.38,0,7.2219999999999995,3,1,155.58857142857144,140.2563325282879,861.84,38783.02,0.0
SC-14768,2024-01-15,Los Angeles,Shanghai,Rail,Automotive,10742.39,493.03,1.86,7.6,Clear,0.676,10.73,0,5.877999999999999,0,1,225.18714285714285,171.05817136423556,1010.86,45488.51,0.0
SC-13793,2024-01-15,Singapore,Los Angeles,Road,Automotive,11213.57,358.6,3.72,9.7,Rain,0.86,12.3,1,7.905999999999999,3,2,266.5957142857143,161.70239194861892,2594.01,116730.42,215160.0
SC-12656,2024-01-15,Busan,Singapore,Road,Automotive,12421.61,358.45,3.63,0.6,Hurricane,0.605,61.05,1,1.509,2,2,255.55142857142854,150.47303295813194,3023.52,136058.44,215070.0
SC-10906,2024-01-15,Antwerp,Los Angeles,Road,Textiles,12352.93,223.99,2.76,9.3,Fog,0.892,16.07,1,7.338,1,2,256.11,150.3265996644196,2527.96,113758.16,134394.0
SC-11356,2024-01-15,Busan,Antwerp,Sea,Pharmaceuticals,13560.18,270.74,1.56,0.6,Hurricane,0.868,154.48,1,0.8879999999999999,2,3,281.3671428571428,132.3114914024586,3725.93,167666.86,162444.0
SC-11113,2024-01-15,Dubai,Shanghai,Road,Pharmaceuticals,8286.13,272.87,2.63,10.0,Clear,0.537,7.72,1,7.789,0,2,303.7642857142857,111.26711701383952,2803.46,126155.69,163722.0
SC-10290,2024-01-16,Los Angeles,Singapore,Rail,Electronics,942.25,141.63,2.92,3.5,Clear,0.886,0.5,0,3.3259999999999996,0,1,302.75857142857143,112.92212426101041,565.08,25428.61,0.0
SC-11191,2024-01-16,Busan,Marseille,Sea,Pharmaceuticals,8941.47,321.76,1.71,0.5,Hurricane,0.68,101.43,1,0.863,2,3,278.2914285714286,77.9698521713301,2838.46,127730.9,193056.0
SC-12939,2024-01-16,Los Angeles,Busan,Road,Electronics,1115.12,238.2,2.14,8.8,Hurricane,0.704,6.93,1,6.8020000000000005,2,2,261.09142857142854,70.19349813873359,2388.94,107502.34,142920.0
SC-11467,2024-01-16,Dubai,Antwerp,Sea,Textiles,6400.17,36.2,3.47,1.7,Fog,0.683,14.36,0,2.231,1,3,215.05571428571426,96.45829614521551,718.4,32328.15,0.0
SC-12051,2024-01-17,Shanghai,Dubai,Air,Textiles,7528.1,264.1,2.29,0.9,Clear,0.617,0.5,0,1.317,0,0,220.78571428571428,98.25214804388807,416.8,18756.0,0.0
SC-11472,2024-01-17,Rotterdam,Los Angeles,Air,Perishables,13238.48,324.11,4.5,2.8,Storm,0.824,2.07,1,3.3099999999999996,4,0,228.41,104.63784911143135,2087.65,93944.33,194466.0
SC-13649,2024-01-17,Busan,Antwerp,Air,Electronics,14993.59,107.65,3.45,6.9,Storm,0.643,3.11,1,5.865,4,0,204.80714285714288,111.35610950374264,1886.66,84899.61,64590.0
SC-12017,2024-01-17,Shanghai,Hamburg,Road,Pharmaceuticals,13547.58,40.19,3.96,0.9,Fog,0.719,12.31,0,1.818,1,2,190.31571428571428,126.51649468971002,809.79,36440.44,0.0
SC-13115,2024-01-17,Singapore,Antwerp,Sea,Pharmaceuticals,13223.32,140.95,2.92,1.0,Clear,0.538,20.15,0,1.576,0,3,164.48571428571427,112.93625914015132,888.16,39967.08,0.0
SC-13036,2024-01-17,Rotterdam,Shanghai,Road,Perishables,6764.27,136.42,2.97,4.7,Hurricane,0.894,39.92,1,4.181,2,2,149.94571428571427,108.3217421784353,1768.3,79573.62,81852.0
SC-12976,2024-01-17,Rotterdam,Singapore,Rail,Pharmaceuticals,12665.46,460.94,1.41,5.4,Clear,0.904,11.45,0,4.202999999999999,0,1,210.62285714285713,146.29248530646697,901.82,40581.89,0.0
SC-12833,2024-01-17,Antwerp,Busan,Air,Automotive,4688.83,438.4,2.58,4.7,Storm,0.829,2.08,1,4.064,4,0,235.52285714285716,169.84870696341162,2175.25,97886.26,263040.0
SC-10859,2024-01-18,Hamburg,Busan,Rail,Pharmaceuticals,1452.78,293.71,3.2,4.9,Rain,0.844,1.63,0,4.390000000000001,3,1,231.17999999999998,167.57960217958114,548.34,24675.44,0.0
SC-13790,2024-01-18,Singapore,Rotterdam,Sea,Pharmaceuticals,3613.09,448.01,2.03,5.9,Rain,0.582,8.41,0,4.739,3,3,279.80285714285714,174.97802278327094,979.25,44066.11,0.0
SC-13042,2024-01-18,Dubai,Los Angeles,Rail,Perishables,2142.9,21.45,4.35,4.5,Fog,0.852,2.64,0,4.455,1,1,277.12571428571425,179.34397052007293,695.82,31312.03,0.0
SC-12469,2024-01-18,Hamburg,Antwerp,Road,Electronics,8373.86,167.74,3.2,3.7,Rain,0.824,7.7,1,3.55,3,2,280.9528571428571,176.21220102613844,2674.25,120341.35,100644.0
SC-13047,2024-01-18,Antwerp,Dubai,Rail,Automotive,5524.6,16.56,3.05,1.4,Rain,0.756,4.29,0,1.8949999999999998,3,1,263.83,197.1741739342825,826.66,37199.82,0.0
SC-11882,2024-01-19,Dubai,Antwerp,Rail,Textiles,9726.22,161.52,1.76,7.4,Storm,0.961,28.22,1,5.708,4,1,221.0557142857143,178.9196451722712,2546.34,114585.11,96912.0
SC-14772,2024-01-19,Singapore,Marseille,Air,Pharmaceuticals,3903.94,88.64,2.76,0.2,Clear,0.758,0.5,0,0.968,0,0,171.08999999999997,155.39884770057546,359.58,16181.26,0.0
SC-10183,2024-01-20,Shanghai,Singapore,Rail,Automotive,13221.42,467.76,2.44,5.1,Fog,0.986,18.1,0,4.302,1,1,195.95428571428573,188.65427231288655,1371.24,61705.66,0.0
SC-11699,2024-01-20,Rotterdam,Busan,Sea,Automotive,8468.18,148.06,1.5,0.8,Clear,0.93,12.84,0,1.0099999999999998,0,3,153.1042857142857,152.4530139482481,943.23,42445.41,0.0
SC-10733,2024-01-20,Antwerp,Marseille,Road,Pharmaceuticals,8084.45,269.1,3.21,3.8,Storm,0.725,18.32,1,3.6229999999999998,4,2,188.48285714285717,145.3800653132202,1994.97,89773.59,161460.0
SC-14126,2024-01-20,Singapore,Rotterdam,Air,Automotive,10354.68,208.48,3.48,9.3,Rain,0.715,0.86,0,7.554,3,0,194.30285714285714,145.22665798838784,416.83,18757.49,0.0
SC-14806,2024-01-20,Hamburg,Dubai,Sea,Pharmaceuticals,1628.92,369.66,2.16,6.3,Fog,0.771,3.93,0,5.057999999999999,1,3,244.74571428571429,134.09631151491365,624.28,28092.43,0.0
SC-11993,2024-01-20,Los Angeles,Busan,Sea,Automotive,2462.63,42.61,1.32,0.9,Rain,0.674,4.51,0,1.026,3,3,227.75857142857143,152.64518274182683,676.0,30420.13,0.0
SC-12503,2024-01-20,Busan,Rotterdam,Air,Perishables,14362.68,65.76,3.36,0.8,Clear,0.941,0.58,0,1.568,0,0,224.48999999999998,156.32129637384662,452.33,20354.79,0.0
SC-10745,2024-01-21,Hamburg,Singapore,Rail,Pharmaceuticals,13543.83,346.2,3.11,7.8,Fog,0.991,18.96,0,6.393,1,1,207.1242857142857,129.1898739397613,1001.42,45063.84,0.0
SC-12043,2024-01-21,Dubai,Shanghai,Sea,Electronics,2164.15,76.15,2.7,7.2,Fog,0.715,5.62,1,5.85,1,3,196.85142857142858,137.27532776972598,1865.38,83942.19,45690.0
SC-10678,2024-01-21,Rotterdam,Los Angeles,Air,Electronics,14557.32,356.4,1.82,9.1,Storm,0.702,3.38,1,6.9159999999999995,4,0,209.32285714285717,148.44428165861711,1952.25,87851.16,213840.0
SC-14306,2024-01-21,Antwerp,Busan,Air,Perishables,7414.16,126.95,1.68,3.1,Hurricane,0.547,3.68,1,2.674,2,0,197.6757142857143,151.6845488568455,1857.05,83567.04,76170.0
SC-14831,2024-01-21,Antwerp,Singapore,Air,Perishables,11222.3,447.81,2.91,2.7,Hurricane,0.771,4.72,1,2.763,2,0,208.84,168.40689396023348,1989.05,89507.17,268686.0
SC-14593,2024-01-21,Shanghai,Los Angeles,Air,Automotive,5026.75,199.05,3.03,0.7,Clear,0.895,0.5,0,1.3989999999999998,0,0,231.18857142857146,152.2785344282609,455.67,20505.19,0.0
SC-14504,2024-01-21,Rotterdam,Marseille,Road,Electronics,7695.47,189.61,1.31,3.6,Clear,0.978,5.47,1,2.9130000000000003,0,2,248.88142857142856,136.20047557780057,2318.95,104352.72,113766.0
SC-14192,2024-01-21,Busan,Antwerp,Rail,Textiles,7749.41,467.0,2.81,5.4,Hurricane,0.715,54.35,1,4.622999999999999,2,1,266.1385714285714,156.696926839528,3076.75,138453.96,280200.0
SC-11713,2024-01-22,Singapore,Dubai,Sea,Automotive,7167.11,412.05,2.55,9.2,Hurricane,0.523,116.21,1,7.204999999999999,2,3,314.1242857142857,139.28367191420824,3776.79,169955.6,247230.0
SC-11040,2024-01-22,Antwerp,Busan,Air,Textiles,8322.62,297.19,3.1,1.1,Storm,0.853,1.19,0,1.7,4,0,305.6657142857143,138.08110513476538,607.91,27355.98,0.0
SC-11440,2024-01-22,Dubai,Rotterdam,Sea,Pharmaceuticals,14563.72,135.16,2.18,3.9,Clear,0.738,24.51,1,3.384,0,3,306.8385714285714,136.3339114611099,2999.01,134955.39,81096.0
SC-10224,2024-01-22,Los Angeles,Dubai,Air,Automotive,4345.43,200.59,1.26,0.1,Storm,0.826,1.33,0,0.448,4,0,271.5214285714286,125.30384649969477,547.46,24635.82,0.0
SC-14074,2024-01-23,Busan,Singapore,Air,Electronics,10396.72,185.63,1.68,4.3,Fog,0.815,0.77,0,3.514,1,0,269.6042857142857,126.69242622155748,522.58,23516.26,0.0
SC-12769,2024-01-23,Los Angeles,Dubai,Sea,Textiles,10354.49,359.79,2.39,8.2,Clear,0.718,19.92,0,6.456999999999999,0,3,293.9157142857143,125.10188086211225,1064.58,47906.22,0.0
SC-11293,2024-01-23,Singapore,Dubai,Rail,Electronics,10497.24,160.54,3.61,8.4,Hurricane,0.595,82.99,1,6.963,2,1,250.1357142857143,106.70596357235513,2779.46,125075.79,96324.0
SC-14811,2024-01-23,Hamburg,Busan,Road,Electronics,12882.17,414.31,2.8,10.0,Storm,0.796,34.08,1,7.84,4,2,250.45857142857145,107.27939106659333,2496.79,112355.47,248586.0
SC-14204,2024-01-23,Los Angeles,Marseille,Rail,Electronics,2066.65,466.49,3.88,4.3,Clear,0.736,1.79,1,4.1739999999999995,0,1,274.64428571428573,135.05820768063225,2510.17,112957.48,279894.0
SC-12813,2024-01-24,Dubai,Rotterdam,Sea,Textiles,2859.15,216.32,1.38,2.7,Hurricane,0.736,36.69,1,2.304,2,3,286.23857142857145,124.12975797239655,2878.66,129539.88,129792.0
